fecha,temp_max,temp_min,temp_media,precipitacion
2017-05-18,"20,18","10,46","15,79","5,51"
2017-05-19,"20,54","8,13","14,76","0,18"
2017-05-20,"23,76","8,69","16,67","0,04"
2017-05-21,"24,88","12,05","18,92","0,04"
2017-05-22,"25,94","12,87","19,85","0,3"
2017-05-23,"26,78","12,64","20,16","0,0"
2017-05-24,"28,43","13,48","21,4","0,06"
2017-05-25,"29,47","14,61","22,49","0,42"
2017-05-26,"27,16","14,63","21,35","2,06"
2017-05-27,"26,75","14,38","21,02","0,13"
2017-05-28,"25,27","15,09","20,63","0,74"
2017-05-29,"23,74","14,03","19,35","2,15"
2017-05-30,"23,97","13,32","19,1","0,96"
2017-05-31,"25,82","13,44","20,08","0,74"
2017-06-01,"27,34","14,04","21,14","0,31"
2017-06-02,"27,08","15,04","21,51","2,08"
2017-06-03,"24,26","14,33","19,76","3,14"
2017-06-04,"21,5","12,73","17,57","4,36"
2017-06-05,"24,09","11,2","18,09","2,29"
2017-06-06,"24,62","12,54","19,04","0,29"
2017-06-07,"27,06","12,13","20,04","0,0"
2017-06-08,"28,48","14,39","21,88","0,77"
2017-06-09,"27,55","14,82","21,63","0,28"
2017-06-10,"29,88","15,08","22,91","0,0"
2017-06-11,"30,57","16,39","23,93","0,03"
2017-06-12,"30,37","16,64","23,96","0,17"
2017-06-13,"30,38","17,24","24,28","0,42"
2017-06-14,"31,46","16,99","24,69","0,11"
2017-06-17,"32,92","18,08","25,95","0,15"
2017-06-18,"33,0","17,61","25,75","0,05"
2017-06-19,"31,76","18,47","25,56","1,06"
2017-06-20,"31,62","18,09","25,31","0,78"
2017-06-21,"32,2","17,68","25,39","0,23"
2017-06-22,"31,62","17,95","25,24","0,12"
2017-06-23,"31,43","17,62","24,98","0,1"
2017-06-24,"30,8","17,78","24,75","0,05"
2017-06-25,"29,27","17,78","23,98","1,57"
2017-06-26,"28,53","17,04","23,23","2,75"
2017-06-27,"26,99","16,08","21,99","1,87"
2017-06-28,"24,59","15,25","20,38","2,79"
2017-06-29,"22,38","12,66","17,95","0,97"
2017-06-30,"21,79","11,25","16,96","2,68"
2017-07-01,"22,91","11,45","17,61","1,41"
2017-07-02,"26,9","11,95","19,87","0,03"
